Estação ,Sensores ,Data Hora,Valor ,,,,,
PEDRA BRANCA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Umidade Relativa (%),2013-04-01 00:00:00,68.80,,,,,
PEDRA BRANCA,Temp. do Ar (ºC),2013-04-01 00:00:00,24.70,,,,,
PEDRA BRANCA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Pressão atmosférica (hPa),2013-04-01 00:00:00,954.60,,,,,
PEDRA BRANCA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Umidade Relativa (%),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Temp. do Ar (ºC),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Pressão atmosférica (hPa),2013-04-01 00:00:00,850.00,,,,,
ITATIRA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,2.60,,,,,
UBAJARA,Umidade Relativa (%),2013-04-01 00:00:00,92.80,,,,,
UBAJARA,Temp. do Ar (ºC),2013-04-01 00:00:00,6.00,,,,,
UBAJARA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Pressão atmosférica (hPa),2013-04-01 00:00:00,931.70,,,,,
UBAJARA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Direção do vento (graus),2013-04-01 00:00:00,24.00,,,,,
TABULEIRO DO NORTE,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
TABULEIRO DO NORTE,Umidade Relativa (%),2013-04-01 00:00:00,68.80,,,,,
TABULEIRO DO NORTE,Temp. do Ar (ºC),2013-04-01 00:00:00,27.70,,,,,
TABULEIRO DO NORTE,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
TABULEIRO DO NORTE,Pressão atmosférica (hPa),2013-04-01 00:00:00,1000.60,,,,,
TABULEIRO DO NORTE,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
TABULEIRO DO NORTE,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
SAO BENEDITO,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
SAO BENEDITO,Umidade Relativa (%),2013-04-01 00:00:00,91.20,,,,,
SAO BENEDITO,Temp. do Ar (ºC),2013-04-01 00:00:00,10.50,,,,,
SAO BENEDITO,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
SAO BENEDITO,Pressão atmosférica (hPa),2013-04-01 00:00:00,915.80,,,,,
SAO BENEDITO,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
SAO BENEDITO,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
QUIXERAMOBIM,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,2.60,,,,,
QUIXERAMOBIM,Umidade Relativa (%),2013-04-01 00:00:00,28.80,,,,,
QUIXERAMOBIM,Temp. do Ar (ºC),2013-04-01 00:00:00,51.10,,,,,
QUIXERAMOBIM,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
QUIXERAMOBIM,Pressão atmosférica (hPa),2013-04-01 00:00:00,987.30,,,,,
QUIXERAMOBIM,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
QUIXERAMOBIM,Direção do vento (graus),2013-04-01 00:00:00,39.00,,,,,
QUIXADA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,3.00,,,,,
QUIXADA,Umidade Relativa (%),2013-04-01 00:00:00,27.20,,,,,
QUIXADA,Temp. do Ar (ºC),2013-04-01 00:00:00,51.10,,,,,
QUIXADA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
QUIXADA,Pressão atmosférica (hPa),2013-04-01 00:00:00,989.20,,,,,
QUIXADA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
QUIXADA,Direção do vento (graus),2013-04-01 00:00:00,57.00,,,,,
LAVRAS DA MANGABEIRA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
LAVRAS DA MANGABEIRA,Umidade Relativa (%),2013-04-01 00:00:00,83.20,,,,,
LAVRAS DA MANGABEIRA,Temp. do Ar (ºC),2013-04-01 00:00:00,24.40,,,,,
LAVRAS DA MANGABEIRA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,4.24,,,,,
LAVRAS DA MANGABEIRA,Pressão atmosférica (hPa),2013-04-01 00:00:00,980.50,,,,,
LAVRAS DA MANGABEIRA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
LAVRAS DA MANGABEIRA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
JERICOACOARA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
JERICOACOARA,Umidade Relativa (%),2013-04-01 00:00:00,84.80,,,,,
JERICOACOARA,Temp. do Ar (ºC),2013-04-01 00:00:00,27.10,,,,,
JERICOACOARA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,5.12,,,,,
JERICOACOARA,Pressão atmosférica (hPa),2013-04-01 00:00:00,1015.90,,,,,
JERICOACOARA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
JERICOACOARA,Direção do vento (graus),2013-04-01 00:00:00,15.00,,,,,
JAGUARUANA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
JAGUARUANA,Umidade Relativa (%),2013-04-01 00:00:00,100.80,,,,,
JAGUARUANA,Temp. do Ar (ºC),2013-04-01 00:00:00,22.80,,,,,
JAGUARUANA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
JAGUARUANA,Pressão atmosférica (hPa),2013-04-01 00:00:00,991.70,,,,,
JAGUARUANA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
JAGUARUANA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
IGUATU,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
IGUATU,Umidade Relativa (%),2013-04-01 00:00:00,81.60,,,,,
IGUATU,Temp. do Ar (ºC),2013-04-01 00:00:00,23.60,,,,,
IGUATU,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
IGUATU,Pressão atmosférica (hPa),2013-04-01 00:00:00,993.60,,,,,
IGUATU,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
